epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.5497,0.27094,0.95304,1,0.17906,0.000474595,0.000474595,0.000474595
2,136.327,0.16587,0.97972,1,0.06677,0.000903857,0.000903857,0.000903857
3,205.868,0.15077,0.95482,1,0.12534,0.00128596,0.00128596,0.00128596
4,277.349,0.13611,0.92387,1,0.15737,0.00121679,0.00121679,0.00121679
5,352.085,0.09804,0.98506,1,0.04204,0.00114606,0.00114606,0.00114606
6,428.688,0.08747,0.98648,1,0.04186,0.00107532,0.00107532,0.00107532
7,507.753,0.07754,0.98897,1,0.03377,0.00100459,0.00100459,0.00100459
8,587.973,0.07616,0.98755,1,0.04806,0.000933851,0.000933851,0.000933851
9,670.13,0.06818,0.98186,1,0.04693,0.000863116,0.000863116,0.000863116
10,753.597,0.06049,0.99324,1,0.02481,0.00079238,0.00079238,0.00079238
11,840.562,0.05927,0.99146,1,0.02716,0.000721645,0.000721645,0.000721645
12,928.161,0.05547,0.98968,1,0.03368,0.000650909,0.000650909,0.000650909
13,1015.2,0.05642,0.99253,1,0.02513,0.000580174,0.000580174,0.000580174
14,1103.47,0.0508,0.99395,1,0.02108,0.000509438,0.000509438,0.000509438
15,1192.67,0.04486,0.99217,1,0.02718,0.000438703,0.000438703,0.000438703
16,1281.53,0.03703,0.9936,1,0.02535,0.000367967,0.000367967,0.000367967
17,1371.17,0.03307,0.99431,1,0.02043,0.000297232,0.000297232,0.000297232
18,1461.88,0.03182,0.99466,1,0.01912,0.000226497,0.000226497,0.000226497
19,1552.51,0.02904,0.99538,1,0.01917,0.000155761,0.000155761,0.000155761
20,1644.03,0.02464,0.99573,1,0.01849,8.50255e-05,8.50255e-05,8.50255e-05
